Frequency,S11_Real,S11_Imaginary,
35212203,-0.1845328287,0.172388113,
35312212,-0.0918625223,0.22800343,
35412221,0.01635778131,0.2388888288,
35512230,0.1195245608,0.2007884309,
35612239,0.1964570759,0.1210706117,
35712248,0.230771802,0.01527160092,
35812258,0.215029076,-0.09445139769,
35912267,0.1527795135,-0.1858004057,
36012276,0.05841151607,-0.2409361492,
36112285,-0.04935816884,-0.2488509461,
36212294,-0.1490151947,-0.210132865,
36312303,-0.2219243524,-0.133949581,
36412312,-0.2554522554,-0.03444814389,
36512321,-0.2442546787,0.06942333346,
36612330,-0.190393423,0.1591670883,
36712339,-0.1028381429,0.2177205065,
36812349,0.001730356178,0.2341023303,
36912358,0.1040040555,0.203910796,
37012367,0.1839379144,0.1321299506,
37112376,0.2252234542,0.03277907087,
37212385,0.2190942641,-0.07471584523,
37312394,0.166238852,-0.1679201285,
37412403,0.0794911452,-0.2289682413,
37512412,-0.02395996065,-0.2451773506,
37612421,-0.1226809504,-0.2154362691,
37712431,-0.1980566124,-0.1463468419,
37812440,-0.2362579574,-0.05283650869,
37912449,-0.2299160433,0.04762237374,
38012458,-0.1802785525,0.1351797161,
38112467,-0.09760149337,0.1928749394,
38212476,0.00277248515,0.2087007287,
38312485,0.1009663276,0.1786771895,
38412494,0.1755510532,0.1076951094,
38512503,0.2114964525,0.01012742048,
38612512,0.2013711302,-0.09244061584,
38712522,0.147113687,-0.1796981591,
38812531,0.06143961214,-0.235764933,
38912540,-0.03899450897,-0.2470951193,
39012549,-0.1338592053,-0.2165330588,
39112558,-0.2060137014,-0.1489700491,
39212567,-0.2428151257,-0.05810371022,
39312576,-0.2383221585,0.03963773599,
39412585,-0.1935907433,0.1267009781,
39512594,-0.1153723931,0.1866342402,
39612603,-0.01874579256,0.2071549137,
39712613,0.07737401826,0.1850580509,
39812622,0.1553258772,0.1235347853,
39912631,0.1993567912,0.03424709309,
40012640,0.2007984733,-0.06499173175,
40112649,0.16023269,-0.1550013125,
40212658,0.08632683589,-0.2190792065,
40312667,-0.00692744818,-0.2457237486,
40412676,-0.1019418292,-0.2313221865,
40512685,-0.1818174275,-0.1788053061,
40612694,-0.2327098762,-0.09892293286,
40712704,-0.2455688977,-0.005098034519,
40812713,-0.2183101388,0.08505656053,
40912722,-0.1547749334,0.155625329,
41012731,-0.06697412343,0.1922012092,
41112740,0.02832559524,0.1865622893,
41212749,0.1115285589,0.1392045937,
41312758,0.164693141,0.05976732515,
41412767,0.1768283454,-0.03561625849,
41512776,0.1442837628,-0.1251864238,
41612785,0.07557372329,-0.1899462408,
41712795,-0.01373914455,-0.2168192011,
41812804,-0.1044700323,-0.2013103286,
41912813,-0.1787764506,-0.1482151988,
42012822,-0.222132912,-0.0686211062,
42112831,-0.2270738565,0.02171852002,
42212840,-0.1930723897,0.1057073954,
42312849,-0.1257610486,0.167427737,
42412858,-0.03723303983,0.193988567,
42512867,0.05472167632,0.1797974676,
42612876,0.1316324947,0.1264279474,
42712886,0.1778081247,0.04426986475,
42812895,0.1836223976,-0.04980350481,
42912904,0.1476177389,-0.1366163408,
43012913,0.07840021825,-0.1990355971,
43112922,-0.0101683241,-0.2248692784,
43212931,-0.1001533902,-0.2110379746,
43312940,-0.1752511408,-0.1608248938,
43412949,-0.2221486356,-0.08460288095,
43512958,-0.2330765212,0.004018768253,
43612967,-0.2060070722,0.08884188628,
43712977,-0.1455989522,0.1548609571,
43812986,-0.06242456841,0.1896796352,
43912995,0.02809638428,0.1853582167,
44013004,0.1085721252,0.142268251,
44113013,0.1623944327,0.06847248756,
44213022,0.1782006616,-0.02191133466,
44313031,0.1532637217,-0.1095324994,
44413040,0.09272484895,-0.1764645219,
44513049,0.009829939976,-0.2099868622,
44613058,-0.07795421027,-0.2041060775,
44713068,-0.1537918478,-0.1609005134,
44813077,-0.2030433377,-0.08961325191,
44913086,-0.2167619756,-0.004536562968,
45013095,-0.1920828167,0.07800246322,
45113104,-0.1337412889,0.1416427626,
45213113,-0.05285866569,0.1740796803,
45313122,0.03446992141,0.167215974,
45413131,0.1107173937,0.1223114453,
45513140,0.1597708459,0.04806082827,
45613149,0.1710573306,-0.04060803684,
45713159,0.1423221163,-0.1250692834,
45813168,0.08036957967,-0.1883397155,
45913177,-0.002289543019,-0.2185780272,
46013186,-0.08871343696,-0.2109174075,
46113195,-0.1632869225,-0.1682227615,
46213204,-0.2131013267,-0.09875786279,
46313213,-0.229133022,-0.01513589825,
46413222,-0.2087376298,0.06697882181,
46513231,-0.1556937411,0.1332198133,
46613240,-0.0789189963,0.1703529536,
46713250,0.006390734759,0.1705611055,
46813259,0.08350040343,0.1336270274,
46913268,0.1365291155,0.06588077278,
47013277,0.153739408,-0.01838888367,
47113286,0.1310233027,-0.1009186333,
47213295,0.07520444897,-0.164565054,
47313304,-0.002201072207,-0.1964429404,
47413313,-0.08531603802,-0.1919660655,
47513322,-0.1574669751,-0.1516751292,
47613331,-0.2057194801,-0.08540788516,
47713341,-0.221242283,-0.005247921427,
47813350,-0.2016582802,0.07385943965,
47913359,-0.150521881,0.1376504906,
48013368,-0.07710125142,0.1744838035,
48113377,0.005880934711,0.176082699,
48213386,0.08166379074,0.1421035671,
48313395,0.1355667466,0.07836433206,
48413404,0.1562428422,-0.002516407693,
48513413,0.1399112606,-0.08370953735,
48613422,0.09040071235,-0.1493134497,
48713432,0.01802983871,-0.1864975679,
48813441,-0.06225761994,-0.1889098002,
48913450,-0.1355211899,-0.157492428,
49013459,-0.1879844657,-0.09814119878,
49113468,-0.210822357,-0.02267199219,
49213477,-0.199520943,0.05519363026,
49313486,-0.1565289989,0.1216895841,
49413495,-0.08907319522,0.164348811,
49513504,-0.009453026111,0.1737797028,
49613514,0.06764477674,0.1481594377,
49713523,0.1261403916,0.091033266,
49813532,0.1538361413,0.01373103952,
49913541,0.1453366241,-0.06752358433,
50013550,0.102036331,-0.1362497527,
50113559,0.03382457101,-0.1792576718,
50213568,-0.04541806548,-0.1880505074,
50313577,-0.1202063151,-0.1620533929,
50413586,-0.1757483506,-0.1068785094,
50513595,-0.2025014542,-0.03398826568,
50613605,-0.1959668388,0.04319531816,
50713614,-0.1568942082,0.1102903732,
50813623,-0.09270182875,0.1541709126,
50913632,-0.01537163453,0.1663423125,
51013641,0.06021529077,0.1436619749,
51113650,0.1180325274,0.08963905759,
51213659,0.1465608106,0.01556494306,
51313668,0.1393884828,-0.06297285975,
51413677,0.09818985059,-0.1302722897,
51513686,0.03232651434,-0.1720607506,
51613696,-0.0444285756,-0.1802636118,
51713705,-0.1167021037,-0.1552469169,
51813714,-0.1706555301,-0.1016527818,
51913723,-0.1961311254,-0.03023107281,
52013732,-0.1886181259,0.044876625,
52113741,-0.1501056691,0.1101679103,
52213750,-0.08704153438,0.15272047,
52313759,-0.01101838247,0.1646694729,
52413768,0.06307741116,0.1425558834,
52513777,0.1208290235,0.09032867187,
52613787,0.1503830747,0.01784479271,
52713796,0.1454597966,-0.05989302246,
52813805,0.1075923007,-0.128034104,
52913814,0.04493342088,-0.1720642224,
53013823,-0.02999535188,-0.1848826157,
53113832,-0.1024278769,-0.1650824243,
53213841,-0.1589692486,-0.1163821917,
53313850,-0.1894791297,-0.049063813,
53413859,-0.1882495769,0.02445183607,
53513868,-0.1558264381,0.09064635131,
53613878,-0.09821205272,0.1365709015,
53713887,-0.02592371655,0.1536054882,
53813896,0.04671791982,0.1370328526,
53913905,0.1049399668,0.09037937777,
54013914,0.1373107997,0.02260556334,
54113923,0.1364172699,-0.05223115925,
54213932,0.1028852182,-0.118838172,
54313941,0.0440271125,-0.1640900688,
54413950,-0.02765839819,-0.1785175042,
54513959,-0.0979196701,-0.1611635399,
54613969,-0.1537555033,-0.1159840883,
54713978,-0.1839195926,-0.05082275467,
54813987,-0.1840916373,0.0198440741,
54913996,-0.1541942827,0.08397483208,
55014005,-0.09937284527,0.1289419913,
55114014,-0.02990190458,0.1462454065,
55214023,0.03983088984,0.1310641383,
55314032,0.09652465386,0.08755567108,
55414041,0.1278804245,0.02270050646,
55514050,0.1282941909,-0.04884671098,
55614060,0.0970289366,-0.113486644,
55714069,0.04132591436,-0.1576665035,
55814078,-0.02763929,-0.1735018493,
55914087,-0.09614819382,-0.158423078,
56014096,-0.151801632,-0.1160181678,
56114105,-0.1842210124,-0.05402242543,
56214114,-0.1876547723,0.01577270297,
56314123,-0.1620198265,0.08073387173,
56414132,-0.1108060423,0.1292204955,
56514141,-0.04374069625,0.1515610503,
56614151,0.02711710764,0.1436973883,
56714160,0.0877826326,0.1057226106,
56814169,0.1262151942,0.04529220324,
56914178,0.1346959671,-0.02576369726,
57014187,0.1114552057,-0.09294015219,
57114196,0.06177939289,-0.1425045143,
57214205,-0.003658499418,-0.1652482678,
57314214,-0.07174813999,-0.1573447661,
57414223,-0.1284804258,-0.1207633496,
57514232,-0.1633744986,-0.06357817906,
57614242,-0.1695785792,0.002402161737,
57714251,-0.1463392147,0.06381959468,
57814260,-0.09810244703,0.1089609252,
57914269,-0.03454223949,0.1280018047,
58014278,0.03107815019,0.116138728,
58114287,0.08460981093,0.07563376911,
58214296,0.1143347502,0.01497204543,
58314305,0.1136806276,-0.05262392664,
58414314,0.08297257096,-0.1130815096,
58514323,0.02819621825,-0.1538530768,
58614333,-0.03843777875,-0.1663470809,
58714342,-0.1041249813,-0.1494547464,
58814351,-0.1565517242,-0.1064585218,
58914360,-0.1861807664,-0.04512615164,
59014369,-0.1876290256,0.02332465242,
59114378,-0.1612504981,0.08631124755,
59214387,-0.1108568913,0.1331880837,
59314396,-0.04508740337,0.1551746889,
59414405,0.02386576196,0.1480645578,
59514414,0.08367437229,0.1125261307,
59614424,0.1228446028,0.05568863033,
59714433,0.1336006529,-0.01236853932,
59814442,0.1144422035,-0.07770486827,
59914451,0.06974976922,-0.1274075233,
60014460,0.008416117153,-0.1526368703,
60114469,-0.05639771386,-0.1482797298,
60214478,-0.1121758376,-0.1167502319,
60314487,-0.1478678801,-0.06385707457,
60414496,-0.1573795836,-0.001165736488,
60514505,-0.1380455687,0.05942495814,
60614515,-0.09389185718,0.1059293087,
60714524,-0.03300693836,0.1286674208,
60814533,0.03280703728,0.1225186148,
60914542,0.09022397535,0.08842663486,
61014551,0.1275943304,0.03164850087,
61114560,0.1376264973,-0.03608526607,
