case,length,csv,f_max,n_raw,df_med,combo,df_hz,stop_hz,available,dmax,dd,N,detectable,alias_margin,peak_m,peak_error,peak_abs,bg90,bgmed,score90,tol,folded_m
常州-5100m,5100.0,/mnt/data/cable_field_data/常州-5100m/常州220kV输电电缆96线-0517-A相.csv,200000000.0,49999,269.0,25k/125.0M,25000.0,124984000.0,True,4015.1175730386876,0.4015519124951183,9999.0,False,0.7872779554977819,,,,,,,,1084.8824269613124
常州-5100m,5100.0,/mnt/data/cable_field_data/常州-5100m/常州220kV输电电缆96线-0517-A相.csv,200000000.0,49999,269.0,30k/150.0M,30000.0,149979000.0,True,3345.931310865573,0.3346265937459319,9999.0,False,0.6560649629148182,,,,,,,,1754.0686891344271
常州-5100m,5100.0,/mnt/data/cable_field_data/常州-5100m/常州220kV输电电缆96线-0517-A相.csv,200000000.0,49999,269.0,40k/200.0M,40000.0,199969000.0,True,2509.44848314918,0.25096994530944894,9999.0,False,0.49204872218611373,,,,,,,,81.10303370164002
常州-5100m,5100.0,/mnt/data/cable_field_data/常州-5100m/常州220kV输电电缆96线-0517-A相.csv,200000000.0,49999,269.0,200k/1000M,200000.0,1000000000.0,False,,,,,,,,,,,,,
无锡-1000m,1000.0,/mnt/data/cable_field_data/无锡-1000m/藕光.db8-A相.csv,200000000.0,49999,3999.900000002235,10k/50.0M,10000.0,49999000.0,True,10037.79393259672,1.0038797812377958,9999.0,True,10.03779393259672,931.6004369886745,-68.39956301132554,37856.27653236657,32548.89129783105,7127.279983313736,1.1630588638479735,180.0,
无锡-1000m,1000.0,/mnt/data/cable_field_data/无锡-1000m/藕光.db8-A相.csv,200000000.0,49999,3999.900000002235,15k/75.0M,15000.0,74994000.0,True,6691.862621731146,0.6692531874918638,9999.0,True,6.691862621731146,1001.2027684878284,1.2027684878283935,51468.504854542494,63685.67183823405,14702.269733552745,0.8081645897569552,180.0,
无锡-1000m,1000.0,/mnt/data/cable_field_data/无锡-1000m/藕光.db8-A相.csv,200000000.0,49999,3999.900000002235,20k/100.0M,20000.0,99989000.0,True,5018.89696629836,0.5019398906188979,9999.0,True,5.01889696629836,837.7376774429405,-162.26232255705952,52019.94632838372,67865.43747396722,18103.257032625057,0.7665160391596718,180.0,
无锡-1000m,1000.0,/mnt/data/cable_field_data/无锡-1000m/藕光.db8-A相.csv,200000000.0,49999,3999.900000002235,25k/125.0M,25000.0,124984000.0,True,4015.1175730386876,0.4015519124951183,9999.0,True,4.015117573038688,1072.143606361966,72.14360636196602,64826.76678422345,79160.32147334123,24323.600125632875,0.818930059626591,180.0,
无锡-1000m,1000.0,/mnt/data/cable_field_data/无锡-1000m/藕光.db8-A相.csv,200000000.0,49999,3999.900000002235,30k/150.0M,30000.0,149979000.0,True,3345.931310865573,0.3346265937459319,9999.0,True,3.345931310865573,931.6004369886745,-68.39956301132554,56123.884366618906,65898.08948043543,24125.992123374643,0.8516769576951332,180.0,
无锡-1000m,1000.0,/mnt/data/cable_field_data/无锡-1000m/藕光.db8-A相.csv,200000000.0,49999,3999.900000002235,40k/200.0M,40000.0,199969000.0,True,2509.44848314918,0.25096994530944894,9999.0,True,2.50944848314918,1062.6067484402067,62.60674844020673,85575.08818031278,61554.05779845425,21685.101022375835,1.3902428408620975,180.0,
